código indicador,indicador de producto,Meta_Limpia,Ejecutado_Acumulado,Presupuesto_Ejecutado_Unificado,Producto_Final,código dependencia responsable (reporte),nombre dependencia responsable (reporte),población objetivo,comunas-corregimientos,pilar o eje plan de desarrollo distrital,presupuesto programado,Resultado_Q1,Resultado_Q2,Resultado_Q3,Resultado_Q4,programa plan de desarrollo distrital,proyectos estratégicos plan de desarrollo distrital,dimensión,subdimensión,componente,producto,tipo de indicador,fórmula de cálculo,variables que componen la fórmula,fuente de datos,unidad de medida del indicador,periodicidad de cálculo del indicador,fecha/periodo de actualización,línea base,año base,unidad de medida de la línea base,Meta_Original,año meta,comportamiento deseado,tipo de acumulación,Observaciones_Q1,Fuente_Q1,Observaciones_Q2,Fuente_Q2,Observaciones_Q3,Fuente_Q3,Observaciones_Q4,Fuente_Q4,sexo,lgbt,rangos etarios,discapacidad,afro,indígena,víctimas,unidad responsable del reporte,código dependencia responsable (misional),nombre dependencia responsable (misional),código del proyecto,nombre del proyecto,meta del proyecto,presupuesto ejecutado,observaciones presupuesto,observaciones seguimiento,unnamed: 56,source_file,source_sheet,producto/accion,fuente de verificación,persona responsable,<<,unnamed: 33,unnamed: 34,presupuesto ejecutado septiembre 30_2025,producto/acción,fuente de verificación.1,fuente de verificación.2,fuente de verificación.3
401,Mesa Interinstitucional Contra el Racismo y la Discriminación en funcionamiento.,1.0,0.0,0,Poner en funcionamiento la Mesa Interinstitucional Contra el Racismo y la Discriminación.,954,Gerencia Étnica,"Negra, Afrodescendiente, Raizal y Palenquera",,Pilar 2: Agenda Social,0.0,0,0,,,Poner en funcionamiento la Mesa Interinstitucional Contra el Racismo y la Discriminación.,"Fortalecimiento de la autonomia económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera del Distrito de Medellín.",Gobernanza y gobernabilidad,Apoyo público-administrativo a la participación ciudadana,Garantías para la participación ciudadana,Poner en funcionamiento la Mesa Interinstitucional Contra el Racismo y la Discriminación.,Indicador de Producto,V1,V1:Funcionamiento de la mesa insterinstitucional ,Informes de supervisión. ,Número,Corto plazo,24 semanas,1,2023,Número,1,2025.0,Mantenimiento ,No acumulado ,"Durante el primer trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia","Durante el segundo trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia",,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240031,"Fortalecimiento de la autonomía económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera.",,0,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
402,Número de colectivos afros fortalecidos en temas de participaciòn e identidad ètnica.,10.0,0.0,0,Promover las actividades de fortalecimiento de los colectivos afro en cuanto a la participación e identidad étnica.,954,Gerencia Étnica,"Negra, Afrodescendiente, Raizal y Palenquera",,Pilar 2: Agenda Social,0.0,0,0,,,Promover las actividades de fortalecimiento de los colectivos afro en cuanto a la participación e identidad étnica.,"Fortalecimiento de la autonomia económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera del Distrito de Medellín.",Reconocimiento y confianza,"Reconocimiento social, político e institucional",Garantías para la participación ciudadana,Promover las actividades de fortalecimiento de los colectivos afro en cuanto a la participación e identidad étnica.,Indicador de Producto,V1,V1:Número de colectivos afro fortalecidos. ,Informes de supervisión. ,Número,Corto plazo,24 semanas ,1,2023,Número,10,2025.0,Mantenimiento ,No acumulado ,"Durante el primer trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia","Durante el segundo  trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia",,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240031,"Fortalecimiento de la autonomía económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera.",,0,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
403,Número de Acciones de promociòn del enfoque diferencial ètnico para el desarrollo de expresiones artìsticas y culturales realizadas.,3.0,0.0,0,"Promover el enfoque diferencial étnico y el encuentro intercultural, potenciando la inclusión y la diversidad étnica, a través de diferentes expresiones artísticas y culturales.",954,Gerencia Étnica,"Negra, Afrodescendiente, Raizal y Palenquera",,Pilar 2: Agenda Social,0.0,0,0,,,"Promover el enfoque diferencial étnico y el encuentro intercultural, potenciando la inclusión y la diversidad étnica, a través de diferentes expresiones artísticas y culturales.","Fortalecimiento de la autonomia económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera del Distrito de Medellín.",Reconocimiento y confianza,"Reconocimiento social, político e institucional",Promoción y comunicación para la Movilización y la participación ciudadana,"Promover el enfoque diferencial étnico y el encuentro intercultural, potenciando la inclusión y la diversidad étnica, a través de diferentes expresiones artísticas y culturales.",Indicador de Producto,V1,V1:Número Acciones con enfoque diferencial étnico. ,Informes de supervisión. ,Número,Corto plazo,24 semanas,1,2023,Número,3,2025.0,Mantenimiento ,No acumulado ,"Durante el primer trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia","Durante el segundo trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Informes de supervisión,   listados asistencia",,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240031,"Fortalecimiento de la autonomía económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera.",,0,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
404,Número de sensibilizaciones y promociòn del enfoque diferencial ètnico desarrolladas,5.0,5.0,26877360,Sensibilizar y promover la implementación del enfoque étnico diferencial y la inclusión de la variable étnica en los proyectos del Distrito.,954,Gerencia Étnica,Servidoras y servidores públicos,,Pilar 2: Agenda Social,26877360.0,1,4,,,Sensibilizar y promover la implementación del enfoque étnico diferencial y la inclusión de la variable étnica en los proyectos del Distrito.,"Fortalecimiento de la autonomia económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera del Distrito de Medellín.",Reconocimiento y confianza,"Relacionamiento entre actores sociales, políticos e institucionales",Formación para la ciudadanía activa,Sensibilizar y promover la implementación del enfoque étnico diferencial y la inclusión de la variable étnica en los proyectos del Distrito.,Indicador de Producto,V1,V1:Número sensibilizaciones y promoción del enfoque diferencial étnico. ,Informes de supervisión. ,Número,Largo plazo,24 semanas,1,2023,Número,5,2025.0,Mantenimiento ,No acumulado ,Durante el mes de marzo se realizó una capacitación en enfoque diferencial érnico a servidores de Metrosalud.,"Listados de asistencia y material pedagógico

","Durante el segundo trimestre se realizaron 4 capacitaciones y sensibilizaciones en enfoque diferencial étnico con Buen Comienzo, Equipo de Victimas y el equipo Surgir, ademas se realizó el desarrollo de material audiovisual necesario para el fomento del enfoque y la prevención a casos de racismo y discriminación racial.  ","Listados de asistencia y material pedagógico

",,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240031,"Fortalecimiento de la autonomía económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera.",,26877360,El presupuesto ejecutado corresponde al pago de honorarios de la profesional de transversalización del enfoqye étnico. ,"Durante este periodo de seguimiento no se reporta desagregación poblacional, toda vez que no se atendieron o beneficiaron usuarios directos de la población étnica. ",,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
405,Número de espacios de concertación entre comunidad fortalecidos.,4.0,1.0,233979,Fortalecer los espacios de concertación entre comunidad y actores institucionales.,954,Gerencia Étnica,"Negra, Afrodescendiente, Raizal y Palenquera
Actores institucionales",,Pilar 2: Agenda Social,233979.0,0,1,,,Fortalecer los espacios de concertación entre comunidad y actores institucionales.,"Fortalecimiento de la autonomia económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera del Distrito de Medellín.",Gobernanza y gobernabilidad,Apoyo público-administrativo a la participación ciudadana,"Coordinación, sinergias y alianzas para el fortalecimiento a la ciudadanía",Fortalecer los espacios de concertación entre comunidad y actores institucionales.,Indicador de Producto,V1,V1:Número de espacios de concertación ,Informes de supervisión. ,Número,Corto plazo,24 semanas,1,2023,Número,4,2025.0,Mantenimiento ,No acumulado ,"Durante el primer trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.","Listados de asistencia y material pedagógico

","Se realizó la primera sesión del Concejo de politicas públicas para la población Afrodescendiente en articulación con el DAP y la Secretaría de Participación Ciudanana, con el fin de socializar los lineamientos para la formulación de los PDL y POT. ","Listados de asistencia y material pedagógico

",,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240031,"Fortalecimiento de la autonomía económica, social y cultural de la población Negra, Afrodescendiente, Raizal y Palenquera.",,233979,,"Durante este periodo de seguimiento no se reporta desagregación poblacional, toda vez que no se atendieron o beneficiaron usuarios directos de la población étnica. ",,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
407,Número de reuniones de la Mesa permanente de concertación indígena acompañadas ,6.0,0.0,0,Potenciar el funcionamiento de la Mesa permanente de concertación indígena.,954,Gerencia Étnica,Indígenas,,Pilar 2: Agenda Social,0.0,0,0,,,Potenciar el funcionamiento de la Mesa permanente de concertación indígena.,Fortalecimiento de los sistemas tradicionales propios de los pueblos indigenas,Gobernanza y gobernabilidad,Articulación interinstitucional,Garantías para la participación ciudadana,Potenciar el funcionamiento de la Mesa permanente de concertación indígena.,Indicador de Producto,V1,V1:Sesiones ordinarias y extraordiarias de la MPCIM,Informes de supervisión. ,Número,Corto plazo,24 semanas,1,2023,Número,6,2025.0,Mantenimiento ,No acumulado ,"Durante el primer trimestre  no se presentaron avances, no obstante se avanzó en el proceso precontractual para dar inicio a las actividades.",Listados de asistencia.,Durante el segundo trimestre del año 2025 no se realizaron sesiones de la mesa permanente de concertaciòn indigena. En el trimestre se realizò el proceso de formulaciòn de especificaciones tècnicas para dar inicio al proceso contractual y por ende a la ejecuciòn de actividades. ,Listados de asistencia.,,,,,,,,,,,,Gerencia Étnica,954,Gerencia Étnica,240032,"Fortalecimiento de los sistemas tradicionales propios de los pueblos indígenas
",,,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
411,Número de acciones realizadas durante el año.,167.0,51.0,500000000,"Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",713,Secretaría de Cultura Ciudadana,Ciudadanía en general,"01 Popular
02 Santa_Cruz
03 Manrique
04 Aranjuez
05 Castilla
06 Doce_de_Octubre
07 Robledo
08 Villa_Hermosa
09 Buenos_Aires
10 La_Candelaria
11 Laureles_Estadio
12 La_América
13 San_Javier
14 El_Poblado
15 Guayabal
16 Belén
50 Corregimiento_de_San_Sebastian_de_Palmitas
60 Corregimiento_de_San_Cristobal
70 Corregimiento_de_Altavista
80 Corregimiento_de_San_Antonio_de_Prado
90 Corregimiento_de_Santa_Elena",Pilar 1: Bienestar Social,4000000000.0,3,48,,,"Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",,Reconocimiento y confianza,"Relacionamiento entre actores sociales, políticos e institucionales","Coordinación, sinergias y alianzas para el fortalecimiento a la ciudadanía","Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",Indicador de Producto,# de acciones realizadas*100/# de acciones proyectadas por año,"1. Cultura Parque realzadas
2. Cultura Parque proyectados por año
3. Acciones de Voluntariado realizadas
4. Acciones de Voluntariado proyectadas",Informes de gestión Subsecretaria de Ciudadanía Cultural,Número,Largo plazo,2025-06-30 00:00:00,167,167,,167,2025.0,,Acum,"3 Cultura Parque
28/02/2025 cultura Parque la Floresta
01/03/2025 cultura Parque Poblado
02/03/2025 cultura Parque UVA La Armonía

","Reporte Subsecretaria de ciudadania Cultural
Ecard Actividades 
Publicaciones en Redes sociales","23 Cultura Parque 
25 Acciones de Voluntariado
4 de abril Cultura Parque UR Vento - San Cristóbal
25 de abril Cultura Parque Parque Boston
26 de abril Cultura Parque Castilla - Alfonso López
27 de abril Cultura Parque La Floresta
2 de mayo  Cultura Parque UVA La Armonía
3 de mayo Cultura Parque Parque Villahermosa
9 de mayo  Cultura Parque Cristo Rey
10 de mayo  Cultura Parque Castilla Alfonso López
17 de mayo  Cultura Parque Carlos E. Restrepo
18 de mayo Cultura Parque Paque Boston
23 de mayo Cultura Parque Plaza Botero
25 de mayo Cultura Parque Parques Del Río
30 de mayo Cultura Parque Parque Milagrosa
1 de junio Cultura Parque Paque Boston
6 de junio Cultura Parque San Cristóbal - Urbanización Ventto
7 de junio Cultura Parque Parque Villahermosa
8 de junio Cultura Parque Parques Del Río
13 de junio Cultura Parque Carlos E. Restrepo (Boulevard)
14 de junio Cultura Parque Parque Poblado
19 de junio Cultura Parque Parque Floresta
20 de junio Cultura Parque Plaza Botero
21 de junio Cultura Parque Parque Cristo Rey
28 de junio Cultura Parque Castilla: Alfonso López (Cancha)","Reporte Subsecretaria de ciudadania Cultural
Ecard Actividades 
Publicaciones en Redes sociales",,,,,,,,,,,,Subsecretaria de Ciudadanía Cultural,713,Secretaría de Cultura Ciudadana,20096,IMPLEMENTACIÓN DE ESTRATEGIAS Y POLÍTICAS DE CULTURA CIUDADANA,,500000000,No se tiene consolidado la ejecución presupuestal,En la Secretaria de Cultura Ciudadana no se cuenta con una recolección de datos con enfoque diferencial,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
416,Atenciones brindadas a jóvenes pertenecientes a Clubes Juveniles ,3200.0,680.0,477708579,"Entregar incentivos que
favorezcan las prácticas
democráticas y/o acciones
comunicativas de las y los
jóvenes en sus procesos
organizativos en todos los
ámbitos del desarrollo del ser
joven",724,Secretaría de la Juventud,Jóvenes,Todas las comunas y corregimientos,Pilar 2: Agenda Social,1053930000.0,680,,,,"Entregar incentivos que
favorezcan las prácticas
democráticas y/o acciones
comunicativas de las y los
jóvenes en sus procesos
organizativos en todos los
ámbitos del desarrollo del ser
joven",Clubes Juveniles,Agenciamiento y modelos de representación,"Surgimiento y renovación de actores, sectores y agendas de la participación",Promoción y comunicación para la Movilización y la participación ciudadana,"Entregar incentivos que
favorezcan las prácticas
democráticas y/o acciones
comunicativas de las y los
jóvenes en sus procesos
organizativos en todos los
ámbitos del desarrollo del ser
joven",Indicador de Producto,,Número total de atenciones,Observatorio Secretaría de la Juventud,Número,Largo plazo,2025-09-04 00:00:00,3200,2024,Atenciones,3200,2025.0,Incrementar,Flujo,"Se avanzó en el proceso de caracterización y se iniciaron las acciones estrategicas del proyecto con una acogida importante entre la población atendida. Se realiza uso de nueva plataforma de recolección de datos y de registro de beneficiarios, lo que exige una curva de aprendizaje y optimización del proceso, pero que ha generado unos resultados muy positivos del proceso",Observatorio de la juventud,,,,,,,Femenino y masculino,x,Todas las edades,x,x,x,x,Democracia Joven,724,Secretaría de la Juventud,240362,Apoyo a las organizaciones juveniles-Clubes Juveniles,3200,477708579,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
417,Jóvenes formados en liderazgo público ,50.0,0.0,0,Promover proceH14:I17sos de formación orientados al ejercicio de la ciudadanía plena con la participación de jóvenes (14 a 28 años).,724,Secretaría de la Juventud,Jóvenes,,Pilar 2: Agenda Social,365000000.0,0,,,,Promover procesos de formación orientados al ejercicio de la ciudadanía plena con la participación de jóvenes (14 a 28 años).,Referentes,Agenciamiento y modelos de representación,Habilidades y competencias para el ejercicio de la ciudadanía y los liderazgos,Formación para la ciudadanía activa,Promover proceH14:I17sos de formación orientados al ejercicio de la ciudadanía plena con la participación de jóvenes (14 a 28 años).,Indicador de Producto,,,Observatorio Secretaría de la Juventud,Número,Largo plazo,2025-09-05 00:00:00,50,2024,Personas,50,2025.0,Mantener,Flujo,El proyecto se encuentra en fase de convocatoria y selección de los 50 jóvenes que participarán,Observatorio de la juventud,,,,,,,Femenino y masculino,,,,,,,Democracia Joven,724,Secretaría de la Juventud,240361,Fortalecimiento para la incidencia de las instancias y escenarios juveniles,50,0,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
418,Subsistema de participación de la juventud operando,1.0,1.0,45180452,"Acompañar procesos y prácticas organizativas para la
promoción de la participación
ciudadana juvenil.",724,Secretaría de la Juventud,Jóvenes,Todas las comunas y corregimientos,Pilar 2: Agenda Social,108000000.0,1,,,,"Acompañar procesos y prácticas organizativas para la
promoción de la participación
ciudadana juvenil.","Subsistema de participación juvenil (CDJ, PDJ, ADJ)",Agenciamiento y modelos de representación,"Surgimiento y renovación de actores, sectores y agendas de la participación",Garantías para la participación ciudadana,"Acompañar procesos y prácticas organizativas para la
promoción de la participación
ciudadana juvenil.",Indicador de Producto,,Garantías brindadas para el funcionamiento de las instancias del subsistema de participación ciudadana. ,Observatorio Secretaría de la Juventud,Número,Largo plazo,2025-09-04 00:00:00,1,2024,Porcentaje,1,2025.0,Mantener,Flujo,"Se han realizado y garantizado cada una de las sesiones ordinarias del CDJ y la PDJ, además de la primera comisión de concertación y decisión.",Observatorio de la juventud,,,,,,,Femenino y masculino,x,14-26,x,x,x,x,Democracia Joven,724,Secretaría de la Juventud,240361,Fortalecimiento para la incidencia de las instancias y escenarios juveniles,1,45180452,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
