"Matriz Integrada de Seguimiento y Evaluación de la Política Pública de Participación Ciudadana del Distrito de Medellín
Seguimiento - Capa Interna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Matriz Integrada de Seguimiento y Evaluación de la Política Pública de Participación Ciudadana del Distrito de Medellín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO DEL SEGUIMIENTO:,,De,Enero,Periodo:,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A,Diciembre,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan de Desarrollo Distrital,,,Identificación general,,,,,,,Características del Indicador,,,,,,,Horizonte temporal,,,,,,,Registro del seguimiento - trimestral,,,,,,,,,,,,Territorialización,,,,,,,,Responsables,,,,,Seguimiento presupuestal,,,,,,Aprendizaje reflexivo
,,,,,,,,,,,,,,,,,,,,,,,,Trimestre I - 2025,,,Trimestre II - 2025,,,Trimestre III - 2025,,,Trimestre IV - 2025,,, Desagregación Grupo Poblacional,,,,,,,Desagregación Territorial,Unidades y dependencias responsables de la ejecución,,,,,Inversión por producto,,,,,,Análisis anual
"Pilar o Eje 
Plan de Desarrollo Distrital","Programa
Plan de Desarrollo Distrital ","Proyectos Estratégicos 
Plan de Desarrollo Distrital",Código Indicador,Dimensión,Subdimensión, Componente,Producto/accion, Indicador de Producto,Población objetivo,Tipo de Indicador,Fórmula de cálculo,Variables que componen la fórmula,Fuente de datos,Unidad de medida del indicador,Periodicidad de cálculo del indicador,Fecha/periodo de actualización,Línea base,Año base,Unidad de medida de la línea base,Meta del indicador,Año meta,Comportamiento deseado,Tipo de acumulación,Resultado,Observaciones ,Fuente de verificacion,Resultado,Observaciones ,Fuente de verificacion,Resultado,Observaciones ,Fuente de verificacion,Resultado,Observaciones ,Fuente de verificacion,Sexo,LGBT,Rangos etarios,Discapacidad,Afro,Indígena,Víctimas,Comunas-Corregimientos,Código Dependencia Responsable (reporte),Nombre Dependencia Responsable (reporte),Unidad responsable del reporte,Código Dependencia Responsable (misional),Nombre Dependencia Responsable (misional),"Código del Proyecto 
",Nombre del Proyecto,Meta del Proyecto,Presupuesto programado ,Presupuesto ejecutado,Observaciones Presupuesto,Observaciones seguimiento
Pilar 1. Bienestar Social y Económico,Diseñar e implementar acciones de carácter pedagógico para promocionar los planes de convivencia estudiantil.,Desarrollo de estrategias para la promoción de factores protectores y prevención de riesgos psicosociales,421,Reconocimiento y confianza,Confianza social y política,"Coordinación, sinergias y alianzas para el fortalecimiento a la ciudadanía",Asesorar y asistir técnicamente y/o acompañar el diseño y puesta en marcha de los planes de convivencia estudiantil.,"Establecimientos educativos oficiales que cuentan con Plan de asesoría, asistencia técnica y/o  acompañamiento para el diseño y puesta en marcha de los Planes de Convivencia Escolar ","Niños, niñas, jóvenes, adolescentes, directivos docentes, docentes y padres de familia",Indicador de Producto,(V1 / V2) * 100,"V1: Número de establecimientos educativos oficiales que cuentan con Plan de asesoría, asistencia técnica y/o  acompañamiento para el diseño y puesta en marcha de los Planes de Convivencia Escolar 
V2: Total de establecimientos educativos oficiales",Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),Porcentaje,Corto plazo,Trimestral,,,,1,2025,Incrementar,Flujo,0.5307017543859649,"El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los planes de convivencia escolar durante este período fue de 121 (53%). Los resultados relacionados en cada trimestre no son acumulados, toda vez que la asesoría y asistencia técnica se realiza a necesidad  y/o solicitud de cada institución.",Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),0.9473684210526315,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los planes de convivencia escolar durante el período correspondiente al primer semestre de 2025 fue de 216 (95%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),0.97,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los planes de convivencia escolar durante el período correspondiente al tercer trimestre de 2025 fue de 221 (97%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),0.98,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los planes de convivencia escolar durante el período correspondiente al cuarto trimestre de 2025 fue de 224 (98%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),Femenino y masculino,,Todas las edades,,,,,Toda la ciudad,711,"Secretaría de Educación
",Línea Construyo Convivencia,711,"Secretaría de Educación
",240059,DESARROLLO DE ESTRATEGIAS PARA LA PROMOCIÓN DE FACTORES PROTECTORES Y LA PREVENCIÓN DE FACTORES DE RIESGO PSICOSOCIALES,1,20134121071,20066308762,"El presupuesto relacionado, es el presupuesto total de todo el proyecto.",
Pilar 1. Bienestar Social y Económico,Definir las condiciones para la creación y puesta en funcionamiento el Comité Escolar de Convivencia.,Desarrollo de estrategias para la promoción de factores protectores y prevención de riesgos psicosociales,422,Reconocimiento y confianza,Confianza social y política,Promoción y comunicación para la Movilización y la participación ciudadana,Asesorar y asistir técnicamente y/o acompañar el diseño y puesta en marcha del Comité Escolar de Convivencia.,"Establecimientos educativos oficiales que cuentan con Plan de asesoría, asistencia técnica y/o  acompañamiento para el diseño y puesta en marcha de los Comites Escolares de Convivencia de acuerdo a la ley 1620 y su decreto reglamentario 1965","Niños, niñas, jóvenes, adolescentes, directivos docentes, docentes y padres de familia",Indicador de Producto,(V1 / V2) * 100,"V1: Número de establecimientos educativos oficiales que cuentan con Plan de asesoría, asistencia técnica y/o  acompañamiento para el diseño y puesta en marcha de los Comites Escolares de Convivencia de acuerdo a la ley 1620 y su decreto reglamentario 1965
V2: Total de establecimientos educativos oficiales",Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),Porcentaje,Corto plazo,Trimestral,,,,1,2025,Incrementar,Flujo,0.4692982456140351,"El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los comités escolares de convivencia escolar durante este período fue de 107 (47%). Los resultados relacionados en cada trimestre no son acumulados, toda vez que la asesoría y asistencia técnica se realiza a necesidad  y/o solicitud de cada institución.",Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),1,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los comités escolares de convivencia durante el período correspondiente al primer semestre de 2025 fue de 228(100%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),1,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los comités escolares de convivencia durante el período correspondiente al tercer trimestre de 2025 fue de 228(100%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),1,El total de IEO asesoradas y asistidas técnicamente para el diseño y puesta en marcha de los comités escolares de convivencia durante el período correspondiente al cuarto trimestre de 2025 fue de 228 (100%),Sistema de Información del PEEP - SIGIPEEP (Sistema Integral de gestión de la información del porgrama Escuela Entorno Protector),Femenino y masculino,,Todas las edades,,,,,Toda la ciudad,711,"Secretaría de Educación
",Línea Construyo Convivencia,711,"Secretaría de Educación
",240059,DESARROLLO DE ESTRATEGIAS PARA LA PROMOCIÓN DE FACTORES PROTECTORES Y LA PREVENCIÓN DE FACTORES DE RIESGO PSICOSOCIALES,1,20134121071,20066308762,"El presupuesto relacionado, es el presupuesto total de todo el proyecto.",
